filename,max_lat,min_lat,max_lon,min_lon,file_type,file_size_mb,file_format,version,created,utmzone,srs
ANA_A01_2017_laz_0.laz,-3.363488118,-3.372548038,-54.99291243,-55.00192748,pointcloud,85.374953,LAS/LAZ,1.2,214/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_1.laz,-3.347678858,-3.354481763,-55.00194596,-55.01009295,pointcloud,50.359133,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_10.laz,-3.381570941,-3.381969964,-54.99289308,-55.00189055,pointcloud,2.870918,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_11.laz,-3.363506666,-3.372564856,-55.00190913,-55.01009771,pointcloud,81.088782,LAS/LAZ,1.2,214/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_12.laz,-3.372516403,-3.381570851,-54.98656762,-54.99291234,pointcloud,50.974691,LAS/LAZ,1.2,214/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_2.laz,-3.38158959,-3.381968423,-55.0018899,-55.01007992,pointcloud,2.138336,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_3.laz,-3.35443357,-3.363488027,-54.98656813,-54.99294934,pointcloud,62.816635,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_4.laz,-3.372548129,-3.381606399,-55.00189064,-55.01009761,pointcloud,60.104264,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_5.laz,-3.354465201,-3.36352331,-55.00192757,-55.01009768,pointcloud,61.585761,LAS/LAZ,1.2,214/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
ANA_A01_2017_laz_6.laz,-3.347682072,-3.354446613,-54.9865729,-54.9929631,pointcloud,41.182171,LAS/LAZ,1.2,158/2017,21S,"+proj=utm +zone=21 +south +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs "
