Map site number,Site Name,Site Code,Department,Province,District,Latitude,Longitude,On-site measurement,Google Earth,Recorded,Site Location notes (Satellite imagery 2020), 
1,Vásquez,-,Loreto,Loreto,Nauta,-4.314368318,-73.45636555,Yes,111,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del Patrimonio Cultural de la Nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
2,Buena Unión,-,Loreto,Loreto,Nauta,-4.294126684,-73.43753335,Yes,105,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del Patrimonio Cultural de la Nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
3,Aquituare (San Joaquín de Omaguas),-,Loreto,Loreto,Nauta,-4.285391602,-73.42915525,Yes,103,-,-,"VERA VEREAU, Melina Maribel; y, Rafael CABANILLAS CALDERÓN. 2006. Inventario y registro del Patrimonio Cultural de la Nación: Región Loreto. 136 pp. Informe Final presentado al Programa Qhapaq Ñan. Iquitos, Perú."
4, Iwatara Ritama Kana,-,Loreto,Loreto,Nauta,-4.312019807,-73.45258073,No,93,125,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
5,Warika - Buena Union,-,Loreto,Loreto,Nauta,-4.293157218,-73.436239,No,113,122,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
6,Paranasima – Nueva Esperanza,-,Loreto,Loreto,Nauta,-4.235243115,-73.37537295,No,95,99,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
7,San Regis,LOR-01,Loreto,Loreto,Nauta,-4.512677311,-73.905678,No,103,102,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
8,Tuyuka Pata o 23 de Junio,LOR-02 // LO-MAR-23JUN-07,Loreto,Loreto,Nauta,-4.542146001,-73.85883736,No,105,127,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
9,Villa Cruzadores,LOR-03 // LO-MAR-VCRU-09,Loreto,Loreto,Nauta,-4.568629244,-73.7870046,No,109,117,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú. // MALLCO HUARCAYA, Rafael. 2016. Identificación y registro de sitios y zonas culturales intangibles de interés cultural en los ríos Pastaza, Tigre, Corrientes y Marañón, en el marco del Proyecto de ampliación del servicio de Catastro, Titulación y Registro de Tierras en las comunidades nativas de las cuencas de los ríos Pastaza, Tigre, Corrientes y Marañón, de las Provincias de Datem del Marañón y Loreto, región Loreto, con Código SNIP 316426. 208 pp. Informe Final presentado al Proyecto Titulación 4 Cuencas (Código SNIP 316426), Dirección Regional Agraria de Loreto, Gerencia de Desarrollo Económico – Gobierno Regional de Loreto. Iquitos, Perú."
10,Unqu Mayu,LOR-04,Loreto,Loreto,Nauta,-4.57061968,-73.78202596,No,115,112,-,"VICENTE HUAMANÍ, Rúlfer. 2012. Identificación y delimitación de zonas culturales intangibles. Informe enmarcado dentro del proyecto: “Saneamiento y Titulación de Predios Rurales, para el Desarrollo Alternativo, Integral y Sostenible”. GOREL / DEVIDA. Iquitos, Perú."
