No,Name,UTM_X,UTM_Y,Tier,Observations
1,Lomas gemelas de la U,339940,8357038,,
3,Loma los guineales,344691,8356979,,
4,Loma de San Juaquincito,338267,8350176,,H: 10 m
5,Irachiti 1 (lomita),340692,8362187,,
6,Loma de los Tacuarales,346716,8368995,,
7,Irachiti 2 (Loma grande),340503,8363314,,
8,Los Cafeces,337924,8363125,,
9,Quillisa 1,342310,8360379,,
10,Tacuarita,342753,8365506,,
11,Tatoyeque,347952,8365827,,
12,Bali 1,354012,8367627,,
13,Bali 2,353894,8367839,,
14,Trapiche,345733,8364812,,
16,Ibibate,348470,8362799,2,H: 20 m
17,Santa Fe,351012,8360933,,
18,Sinaí,351850,8360631,,
19,Mururé-urure,351903,8361739,,
20,Santa Elena,355264,8358575,,
21,Lomita de Benjamin 3,355981,8356408,,
22,Loma de Benjamin 1,356159,8356333,,
23,Loma de la poza de lo Hochoose,354198,8357302,,
24,Loma de ida a los portones,347792,8356755,,
25,Loma de la U - Kia aa,352776,8356111,,
26,Tambata,355131,8363563,2,H: 15 m
27,Tutumo 1,353582,8353587,,
28,Tutumo 2,353711,8353398,,H: 5 m
29,Benjamin 2,356100,8356601,,
30,Isla de monte,351031,8357023,,
31,Los portones,350407,8356070,,
32,Loma 1,331623,8360958,,
33,Cerrito,328998,8363198,2,"H: 16 m; core area 6,52 ha; max. area: 47,3 ha"
36,Cerrito - Loma del puente,329519,8362294,,
37,Loma 3,333220,8361490,,
38,Loma 4,332926,8360683,,
39,Lidar Area Cerrito - mound 3,330901,8359790,3,"H: 11 m; core area: 3,9 ha"
40,Lidar Area Cerrito - mound 40,325637,8343053,3,"H: 4 m; corea area: 1,2 ha"
41,Lidar Area Cerrito - mound 41,323462,8358856,3,"H: 7 m; core area: 3,2 ha"
42,Lidar Area Cerrito - mound 42,324523,8363355,3,"core area: 4,9 ha"
43,Loma de Fernando Velasco,319451,8364845,,H: 4 m
44,-/-,321903,8367953,,
45,Estancia Las Pavas 1,317057,8377209,,
46,Estancia Las Pavas 3,320101,8382364,,
47,Estancia Las Pavas 2,316163,8388881,,
