"type","x","y","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_elev","pest","distriver1","distriver2","distriver3","rivtype","distlake","distshore","agpot","distblack","distclear","distwhite","npp","T_SILT","phsoil","T_GRAVEL","S_CEC_CLAY","T_PH_H2O","S_SAND","S_GRAVEL","mgs","nure","nuav","rug","nitrogen","bdod","cec","cfvo","clay","phh2o","sand","silt","soc","phos","smn30cm","smc30cm","T_C","S_C","T_OC","S_OC","AWT_S_OC","AWT_T_OC","AWC","T_CEC_CLAY","T_BULK_DEN","S_BULK_DEN"
"earthwork",-67.07,-10.4828,25.87083244,26.56666565,24.81666565,1730,246,28,56.19494247,713,118,432,155,10.00833321,71.48809052,74.69509125,32.29999924,18.29999924,14,26.13333321,24.85000038,191,211.0067772,745101.5789,637444.3661,83909.62417,"white",297105.6773,896480.8943,0.158999994,116017.8843,117713.1285,19585.88722,999.7000122,41,5.2,0,6,5,37,0,11,2,3,4.5,2.63,1.13,12.1,10.7,34.2,5,29.5,36.3,30.6,69,104,135.826004,6.699,7.056,1.54,0.84,7.137375,6.94275,1,4,1.4,1.34
"earthwork",-67.076,-10.2873,26.03750038,26.73333359,24.98333359,1745,245,31,55.25250626,719,124,435,162,10.125,71.3028183,74.74578094,32.59999847,18.39999962,14.19999886,26.29999924,25.01666641,131,209.7886101,724860.1374,650022.5806,104844.9155,"white",316253.5506,914692.3226,0.094000001,95388.85977,138835.4638,196.0241503,999.7000122,41,5.2,0,7,5,37,1,11,2,3,4,2.76,1.2,12.1,4.7,28.2,4.6,27.2,44.6,26.6,69,104,135.826004,6.699,5.3193,1.54,0.51,4.73704,6.76125,1,5,1.41,1.34
"earthwork",-67.114,-10.4285,25.85416603,26.53333282,24.79999924,1724,243,29,55.5255661,709,122,429,157,10.0583334,71.84523773,74.75591278,32.29999924,18.29999924,14,26.13333321,24.83333397,181,208.8135443,737653.9515,637177.1428,91254.25892,"white",304570.894,899098.3079,0.158999994,111613.2575,122612.9567,11920.95204,999.7000122,41,5.2,0,6,5,37,0,11,2,3,4.125,2.42,1.16,12,5.6,25.6,4.7,39.4,35,27.3,69,104,135.826004,6.699,7.056,1.54,0.84,7.137375,6.94275,1,4,1.4,1.34
"earthwork",-67.209,-10.4633,25.71666718,26.41666794,24.63333321,1706,239,32,54.14783478,695,129,426,162,10,70.92198944,76.52490234,32.20000076,18.10000038,14.10000038,26,24.66666603,203,204.3317774,737249.354,626542.3685,92067.23097,"white",305188.4823,890394.827,0.140499998,118877.5002,117259.1355,8667.280602,999.7000122,41,5.2,0,7,5,37,0,11,2,3,4.625,2.78,1.22,11.6,10.3,33.5,4.6,34.9,31.6,44.1,69,104,135.826004,6.699,5.3193,1.54,0.51,4.73704,6.76125,1,4,1.29,1.34
"earthwork",-67.22,-10.3069,25.96249962,26.66666603,24.85000038,1745,238,36,51.74256516,702,142,441,173,10.40833378,70.80498505,77.52198792,32.70000076,18,14.70000076,26.25,24.91666603,143,205.7290014,720683.5084,636270.9789,108231.0144,"white",321585.3302,904751.3422,0.122000001,103548.6267,134478.6964,4807.181935,999.7000122,41,5.2,0,8,5,37,1,11,2,3,4.125,3.13,1.24,14.8,3.4,26.9,4.7,28.3,44.8,26.6,69,104,135.826004,6.699,4.935,1.54,0.5,4.235805,6.7425,1,12,1.4,1.34
"earthwork",-67.295,-10.4126,25.85833359,26.54999924,24.73333359,1688,234,35,52.51320648,683,141,422,165,10,70.92199707,78.59078979,32.29999924,18.20000076,14.09999847,26.18333435,24.78333282,149,201.3367948,728510.7833,622533.4697,101634.5708,"white",314293.2996,890447.5699,0.140499998,117772.7232,122280.2623,623.7293902,999.7000122,41,5.2,0,8,5,37,0,11,2,3,3.375,2.75,1.12,13,9.4,23.4,5,38.9,37.7,26,69,104,135.826004,5.2824,4.935,1.24,0.5,4.73704,5.715,1,4,1.4,1.34
"earthwork",-67.034,-10.1274,25.77083397,26.48333359,24.70000076,1786,253,28,55.60307312,739,118,449,166,10.52499962,71.59864044,75.08959198,32.59999847,17.89999962,14.69999886,26.03333282,24.78333282,204,209.3581239,710475.0964,664664.0443,120183.0618,"white",329777.6327,932322.6665,0.122000001,77071.37274,142229.8277,9448.99972,999.7000122,41,5.2,0,7,5,37,1,11,2,3,6.25,2.74,1.23,14.7,5.8,23.3,4.5,33.1,43.6,26.9,69,104,135.826004,6.699,5.3193,1.54,0.51,4.73704,6.76125,1,12,1.42,1.36
"earthwork",-67.554,-10.0755,25.48333359,26.16666603,24.28333282,1684,216,53,42.724617,640,195,425,208,10.48333359,70.35794067,82.41617584,32.29999924,17.39999962,14.89999962,25.86666679,24.35000038,174,209.8797161,683304.933,625127.8499,128931.9767,"white",360521.7138,908104.2211,0.066,106701.661,161765.0549,18908.64544,1024.900024,41,4.5,0,13.02,4.7,29,1,11,2,3,5.625,2.9674,1.2192,19.82,7.1,21.876,4.802,36.816,41.308,33.83,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.26,-10.0021,25.54583359,26.25,24.43333435,1769,247,36,51.43112183,718,147,441,185,10.5583334,71.34008789,76.82501984,32.40000153,17.60000038,14.80000114,25.85000038,24.51666641,200,209.7484313,687717.5177,654608.5978,132917.5647,"white",353809.6463,932037.9147,0.066,77667.27852,166742.1036,35354.64841,999.7000122,41,5.2,0,13,5,37,1,11,2,3,5,2.95,1.16,15.7,7.6,24.2,4.7,38.4,37.4,30.4,69,104,135.826004,5.2824,4.935,1.24,0.5,4.235805,5.715,1,15,1.42,1.36
"earthwork",-67.715,-10.6636,25.60833359,26.35000038,24.39999962,1687,238,39,51.16856766,673,148,528,168,10.25,69.72789764,84.55318451,32.29999924,17.60000038,14.69999886,26,24.43333435,194,219.5036004,739407.0308,569114.1437,91089.35233,"white",313377.0182,843375.9718,0.066,166345.5716,103384.4351,4008.654527,989.2000122,35,5.2,0,8,5,37,0,11,2,3,5.875,2.889992,1.21788,11.94848,3.27272,21.40296,4.64848,44.25472,34.31808,27.84856,297.1404114,104,100.4219971,5.22,4.76,1.16,0.5,4.18642,5.715,1,12,1.4,1.36
